学生姓名,课程类型,教师,课程序号,上课日期,中文星期,西班牙语星期,英语星期,西班牙时间,学生当地时间,时差,课时计算,当日学习内容,页数,教师反馈
Tiger_460,一对一,Rocio,L000001,2025/10/04,周六,sábado,Saturday,10:00,15:00,+5h,1.67,口语,9,
Tiger460,1V1,Rocio,L000002,10/11/2025,周六,sábado,Saturday,10:00,16:00,+6h,1.0,听力,2,语法掌握一般
Tiger_460（教务）,私教,Rocio,L000003,2025-10-18,周六,sábado,Saturday,10:00,16:00,+6h,1.67,语法,13,完成本节内容
Tiger_460,1V1,Rocio（教务）,L000004,2025-10-25,周六,sábado,Saturday,10:00,16:00,+6h,1.5,语法,7,课堂参与积极
Tiger_460,一对一,Rocio,L000005,2025-11-01,周六,sábado,Saturday,10:00,17:00,+7h,1.67,口语,3,完成本节内容
Tiger_460,一对一,Rocio,L000006,2025年11月8日,周六,sábado,Saturday,10:00,17:00,+7h,1.0,语法,12,语法掌握一般
Tiger_460,私教,Rocio,L000007,2025年11月15日,周六,sábado,Saturday,10:00,17:00,+7h,1.5,听力,2,完成本节内容
Tiger_460,一对一,Rocio,L000008,2025/11/22,周六,sábado,Saturday,10:00,17:00,+7h,1.0,听力,7,完成本节内容
Tiger_460,一对一,Rocio,L000009,2025-11-29,周六,sábado,Saturday,10:00,17:00,+7h,1.0,口语,5,完成本节内容
Tiger_460,1V1,Rocio,L000010,2025/12/06,周六,sábado,Saturday,10:00,17:00,+7h,1.0,语法,5,课堂参与积极
Tiger_460,1V1,Rocio,L000011,2025/12/13,周六,sábado,Saturday,10:00,17:00,+7h,1.0,复习,12,
Tiger_460,一对一,Rocio,L000012,2025-12-20,周六,sábado,Saturday,10:00,16:00,+6h,1.0,语法,11,需要加强口语练习
Tiger_460,1V1,Rocio,L000013,2025-12-27,周六,sábado,Saturday,10:00,17:00,+7h,2.0,口语,4,完成本节内容
Tiger_460,1V1,Rocio,L000014,2026-01-03,周六,sábado,Saturday,10:00,17:00,+7h,2.0,阅读,14,课堂参与积极
Tiger_460,私教,Rocio,L000015,2026/01/10,周六,sábado,Saturday,10:00,17:00,+7h,1.0,语法,6,语法掌握一般
Tiger_460,一对一,Rocio,L000016,01/17/2026,周六,sábado,Saturday,10:00,17:00,+7h,1.0,阅读,3,完成本节内容
Tiger_460,私教,Rocio,L000017,2026-01-24,周六,sábado,Saturday,10:00,17:00,+7h,1.0,阅读,6,课堂参与积极
Tiger_460,一对一,Rocio,L000018,2026-01-31,周六,sábado,Saturday,10:00,17:00,+7h,1.67,复习,6,语法掌握一般
Tiger460,私教,Rocio（教务）,L000019,2026年2月7日,周六,sábado,Saturday,10:00,19:00,+9h,1.0,口语,10,完成本节内容
Tiger_460（教务）,私教,Rocio,L000020,2026-02-14,周六,sábado,Saturday,10:00,16:00,+6h,1.67,阅读,10,完成本节内容
Tiger_460,一对一,Rocio,L000021,02/21/2026,周六,sábado,Saturday,10:00,16:00,+6h,1.0,口语,8,需要加强口语练习
Tiger_460,一对一,Rocio,L000022,2026年2月28日,周六,sábado,Saturday,10:00,17:00,+7h,1.5,听力,2,
Tiger_460,一对一,Rocio,L000023,2026年3月7日,周六,sábado,Saturday,10:00,17:00,+7h,1.67,语法,2,完成本节内容
Tiger_460,一对一,Rocio,L000024,2026年3月14日,周六,sábado,Saturday,10:00,17:00,+7h,2.0,口语,8,课堂参与积极
Tiger_460,1V1,Rocio,L000025,2026年3月21日,周六,sábado,Saturday,10:00,17:00,+7h,1.0,听力,14,语法掌握一般
