月份,教师,教师状态,是否新教师,每周可用小时,当月已排课时,剩余可用小时,备注
2026-06,pablo,授课中,否,18.0,10.67,67.27,
2026-06,Claudia,授课中,old,14.0,0.0,60.62,
2026-06,Sandra,授课中,否,14.0,28.85,31.77,
2026-06,Elena,inactive,否,0.0,21.19,0.0,
2026-06,Daniel,授课中,old,14.0,5.0,55.62,
2026-06,Pilar,授课中,否,11.0,35.03,12.6,
2026-06,Raul,授课中,否,17.0,4.67,68.94,
2026-06,Marina,授课中,否,13.0,14.85,41.44,
2026-06,Anna,授课中,old,13.0,11.01,45.28,
2026-06,Carmen,授课中,否,11.0,25.01,22.62,
2026-06,Lucia,授课中,否,14.0,13.0,47.62,
2026-06,miguel,停止授课/离职,否,0.0,14.34,0.0,
2026-06,alba,授课中,否,16.0,25.35,43.93,
2026-06,Javier,active,否,12.0,30.84,21.12,
2026-06,sara,active,否,10.0,31.02,12.28,
2026-06,Diego,授课中,否,15.0,4.5,60.45,
2026-06,Natalia_op,active,否,17.0,45.7,27.91,
2026-06,Carlos_op,授课中,否,17.0,6.0,67.61,
2026-06,rocio,授课中,否,16.0,21.18,48.1,
2026-06,Consuelo,授课中,否,14.0,5.67,54.95,
2026-07,Pablo,授课中,old,5.0,13.51,8.14,
2026-07,claudia,active,否,10.0,0.0,43.3,
2026-07,Sandra,active,否,9.0,26.69,12.28,
2026-07,Elena,停止授课/离职,否,0.0,27.52,0.0,
2026-07,Daniel,授课中,否,6.0,5.5,20.48,
2026-07,Pilar,inactive,否,9.0,43.7,0.0,
2026-07,Raul,授课中,old,7.0,6.0,24.31,
2026-07,Marina,授课中,否,5.0,12.84,8.81,
2026-07,Anna,授课中,否,8.0,13.17,21.47,
2026-07,Carmen,授课中,否,7.0,27.35,2.96,
2026-07,Lucia,授课中,否,7.0,9.84,20.47,
2026-07,miguel,停止授课/离职,否,0.0,15.51,0.0,
2026-07,Alba,授课中,否,7.0,20.17,10.14,
2026-07,Javier,停止授课/离职,否,10.0,31.84,11.46,
2026-07,Sara,停止授课/离职,否,6.0,35.01,0.0,
2026-07,Diego,授课中,否,8.0,9.0,25.64,
2026-07,Natalia,active,old,9.0,38.53,0.44,
2026-07,Carlos,授课中,否,7.0,7.67,22.64,
2026-07,Rocio,授课中,old,6.0,25.68,0.3,
2026-07,Consuelo,授课中,否,8.0,5.84,28.8,
2026-07,Salma,授课中,是,20.0,0.0,86.6,新教师集中加入
2026-07,Eva,active,是,27.0,0.0,116.91,新教师集中加入
2026-07,Juan,active,new,17.0,0.0,73.61,新教师集中加入
2026-07,Cecilia_op,授课中,是,28.0,0.0,121.24,新教师集中加入
2026-07,Mateo,授课中,new,32.0,0.0,138.56,新教师集中加入
2026-07,Irene,授课中,是,29.0,0.0,125.57,新教师集中加入
2026-07,Adrian,active,new,31.0,0.0,134.23,新教师集中加入
2026-07,Laura_op,授课中,是,20.0,3.0,83.6,新教师集中加入
2026-07,fernando,授课中,是,32.0,0.0,138.56,新教师集中加入
2026-07,Beatriz,授课中,是,32.0,0.0,138.56,新教师集中加入
2026-08,Pablo,停止授课/离职,否,3.0,9.5,3.49,
2026-08,Claudia,授课中,old,6.0,0.0,25.98,
2026-08,Sandra,停止授课/离职,否,4.0,35.7,0.0,
2026-08,Elena,inactive,否,0.0,21.18,0.0,
2026-08,Daniel,授课中,否,5.0,5.67,15.98,
2026-08,pilar,停止授课/离职,否,0.0,40.52,0.0,
2026-08,Raul,授课中,否,5.0,5.84,15.81,
2026-08,Marina,授课中,否,6.0,10.17,15.81,
2026-08,Anna,授课中,否,7.0,11.34,18.97,
2026-08,Carmen,授课中,否,7.0,40.86,0.0,
2026-08,Lucia_op,授课中,否,4.0,15.01,2.31,
2026-08,Miguel_op,inactive,old,0.0,19.35,0.0,
2026-08,Alba,授课中,否,4.0,22.51,0.0,
2026-08,Javier,inactive,否,0.0,29.68,0.0,
2026-08,Sara,inactive,否,0.0,32.85,0.0,
2026-08,Diego,active,old,4.0,4.5,12.82,
2026-08,Natalia,active,否,4.0,43.87,0.0,
2026-08,Carlos,授课中,否,5.0,5.17,16.48,
2026-08,Rocio,active,否,8.0,23.18,11.46,
2026-08,Consuelo,授课中,old,6.0,7.34,18.64,
2026-08,Salma,授课中,是,20.0,0.0,86.6,
2026-08,Eva,active,new,15.0,0.0,64.95,
2026-08,Juan,授课中,是,11.0,0.0,47.63,
2026-08,Cecilia,active,是,19.0,0.0,82.27,
2026-08,Mateo,授课中,是,19.0,0.0,82.27,
2026-08,Irene_op,active,是,17.0,0.0,73.61,
2026-08,Adrian,授课中,是,19.0,0.0,82.27,
2026-08,Laura,授课中,是,22.0,4.67,90.59,
2026-08,fernando,授课中,new,22.0,0.0,95.26,
2026-08,Beatriz,active,是,9.0,0.0,38.97,
2026-08,PABLO,停止授课/离职,否,3.0,9.5,3.49,
2026-08,LUCIA_OP,授课中,否,4.0,15.01,2.31,
2026-07,ANNA,授课中,否,8.0,13.17,21.47,
