snapshot_id,snapshot_month,teacher_id,teacher_name,teacher_status,teacher_start_date,new_teacher_flag,availability_slot_count,weekly_available_hours,scheduled_hours_in_month,estimated_monthly_capacity,remaining_available_hours
CAP-202606-T001,2026-06,T001,Pablo,授课中,2025-03-26,否,5,18.0,10.67,77.94,67.27
CAP-202606-T002,2026-06,T002,Claudia,授课中,2025-05-20,否,4,14.0,0.0,60.62,60.62
CAP-202606-T003,2026-06,T003,Sandra,授课中,2025-05-10,否,4,14.0,28.85,60.62,31.77
CAP-202606-T004,2026-06,T004,Elena,停止授课/离职,2025-04-27,否,0,0.0,21.19,0.0,0.0
CAP-202606-T005,2026-06,T005,Daniel,授课中,2025-06-12,否,4,14.0,5.0,60.62,55.62
CAP-202606-T006,2026-06,T006,Pilar,授课中,2025-04-27,否,3,11.0,35.03,47.63,12.6
CAP-202606-T007,2026-06,T007,Raul,授课中,2025-05-08,否,5,17.0,4.67,73.61,68.94
CAP-202606-T008,2026-06,T008,Marina,授课中,2025-06-29,否,4,13.0,14.85,56.29,41.44
CAP-202606-T009,2026-06,T009,Anna,授课中,2025-04-24,否,4,13.0,11.01,56.29,45.28
CAP-202606-T010,2026-06,T010,Carmen,授课中,2025-05-14,否,3,11.0,25.01,47.63,22.62
CAP-202606-T011,2026-06,T011,Lucia,授课中,2025-04-28,否,4,14.0,13.0,60.62,47.62
CAP-202606-T012,2026-06,T012,Miguel,停止授课/离职,2025-03-31,否,0,0.0,14.34,0.0,0.0
CAP-202606-T013,2026-06,T013,Alba,授课中,2025-03-03,否,5,16.0,25.35,69.28,43.93
CAP-202606-T014,2026-06,T014,Javier,授课中,2025-03-24,否,4,12.0,30.84,51.96,21.12
CAP-202606-T015,2026-06,T015,Sara,授课中,2025-06-17,否,3,10.0,31.02,43.3,12.28
CAP-202606-T016,2026-06,T016,Diego,授课中,2025-06-21,否,4,15.0,4.5,64.95,60.45
CAP-202606-T017,2026-06,T017,Natalia,授课中,2025-06-26,否,5,17.0,45.7,73.61,27.91
CAP-202606-T018,2026-06,T018,Carlos,授课中,2025-04-15,否,5,17.0,6.0,73.61,67.61
CAP-202606-T019,2026-06,T019,Rocio,授课中,2025-04-17,否,5,16.0,21.18,69.28,48.1
CAP-202606-T020,2026-06,T020,Consuelo,授课中,2025-05-20,否,4,14.0,5.67,60.62,54.95
